,Unnamed: 0,Spanish,English
216,219,saber,know
217,220,aún,still
218,221,veces,times
219,222,nuestra,our
220,223,hacerlo,do it
221,224,cada,each
222,225,veo,I see
223,226,tanto,so much
224,227,idea,idea
225,228,esos,those
226,229,van,go
227,230,quizá,perhaps
228,231,debo,I must
229,232,alguna,some
230,233,cierto,TRUE
231,234,ud,You
232,235,muerto,dead
233,236,unos,some
234,237,estos,these
235,238,salir,go out
236,239,policía,police
237,240,realmente,really
238,241,familia,family
239,242,pueden,they can
240,243,cabeza,head
241,244,hemos,we have
242,245,amigos,friends
243,246,chica,girl
244,247,cariño,dear
245,248,lado,side
246,249,allá,there
247,250,entre,between
248,251,minutos,minutes
249,252,digo,say
250,253,algún,some
251,254,serio,Serious
252,255,cuidado,careful
253,256,pasó,passed
254,257,buenas,hello good
255,258,somos,are
256,259,amor,love
257,260,puerta,door
258,261,ves,you see
259,262,vaya,Oh
260,263,suerte,luck
261,264,eh,Hey
262,265,rápido,fast
263,266,cuenta,account
264,267,quizás,maybe
265,268,esas,those
266,269,pues,well
267,270,pasado,past
268,271,pensé,I thought
269,272,todavía,still
270,273,hermano,brother
271,274,debes,you must
272,275,casi,almost
273,276,forma,shape
274,277,aqui,here
275,278,chico,boy
276,279,ok,OK
277,280,dicho,saying
278,281,nueva,new
279,282,sabía,knew
280,283,muchas,many
281,285,hice,I did
282,286,contra,against
283,287,auto,car
284,288,camino,path
285,289,ayuda,aid
286,290,primera,first
287,291,hacia,toward
288,292,vi,I saw
289,293,miedo,fear
290,294,adiós,bye
291,295,primero,first
292,296,debería,ought
293,297,poder,can
294,298,niños,children
295,299,sería,I would be
296,300,historia,history
297,301,hey,hey
298,302,mientras,while
299,303,ciudad,city
300,304,dijiste,you said
301,305,cuánto,how much
302,306,esposa,wife
303,307,pronto,soon
304,308,chicos,guys
305,309,cualquier,any
306,310,viejo,old
307,311,debemos,must
308,312,año,year
309,313,muerte,death
310,314,hablando,talking
311,315,manos,hands
312,316,da,gives
313,317,loco,crazy
314,318,mano,hand
315,319,guerra,war
316,320,semana,week
317,321,pasar,pass
318,322,vale,Okay
319,323,cuál,which
320,324,viene,comes
321,325,volver,return
322,326,toma,take
323,327,caso,case
324,328,haré,I will do
325,329,vete,go away
326,330,entiendo,I understand
327,331,horas,hours
328,332,personas,people
329,333,capitán,captain
330,334,adelante,forward
331,335,niño,child
332,336,listo,ready
333,337,noches,nights
334,338,buenos,good
335,339,iba,I was going
336,340,juntos,together
337,341,dame,give me
338,342,único,only
339,343,déjame,let me
340,344,cerca,near
341,345,otros,others
342,347,arriba,above
343,348,jefe,boss
344,349,habla,speaks
345,350,supongo,i guess
346,351,manera,manner
347,352,quieren,they want
348,353,feliz,happy
349,354,significa,means
350,355,fin,end
351,356,bajo,low
352,357,llama,calls
353,358,morir,die
354,359,importante,important
355,360,hiciste,did you
356,361,ojos,eyes
357,362,escucha,listen
358,363,ningún,none
359,364,corazón,heart
360,365,diablos,damn
361,366,necesitamos,need
362,367,atrás,back
363,368,durante,during
364,369,dices,you say
365,370,nuestros,our
366,371,persona,person
367,372,abajo,below
368,373,dr,Dr.
369,374,hija,daughter
370,375,dejar,leave
371,376,necesita,needs
372,378,hago,do
373,379,señora,lady
374,380,haya,is
375,381,suficiente,enough
376,382,doctor,doctor
377,383,gustaría,I would like
378,384,tierra,land
379,385,cara,face
380,386,siquiera,not even
381,387,genial,brilliant
382,388,cree,believes
383,389,supuesto,supposed
384,390,tomar,take
385,391,equipo,equipment
386,392,justo,fair
387,393,juego,game
388,394,ninguna,none
389,395,matar,kill
390,396,cinco,five
391,397,dicen,they say
392,398,amo,I love
393,399,cuándo,when
394,400,pequeño,little
395,401,algunos,some
396,402,conozco,know
397,403,clase,class
398,404,maldito,damned
399,405,unas,nails
400,406,muchos,many
401,407,segundo,second
402,408,aunque,although
403,409,dime,tell me
404,410,igual,equal
405,411,comida,meal
406,412,ay,Oh
407,413,cuerpo,body
408,414,fuerte,strong
409,415,vuelta,lap
410,416,venga,come
411,417,creer,believe
412,418,realidad,reality
413,419,saben,they know
414,420,puta,bitch
415,421,deberías,you should
416,422,pregunta,ask
417,423,fui,I went
418,424,cuatro,four
419,425,sra,mrs
420,426,primer,first
421,427,trabajar,work
422,428,e,and
423,429,hagas,do
424,430,alto,high
425,431,maldita,damned
426,432,comer,eat
427,433,número,number
428,434,dar,give
429,435,necesitas,you need
430,436,oportunidad,chance
431,437,punto,spot
432,438,afuera,outside
433,439,mujeres,women
434,440,pensar,think
435,441,fueron,were
436,442,difícil,difficult
437,443,vivir,live
438,444,paso,passed
439,445,malo,bad
440,446,estabas,you were
441,447,haga,do
442,448,hijos,children
443,449,mayor,elderly
444,450,fiesta,party
445,451,hacen,do
446,452,medio,half
447,453,algunas,some
448,454,basta,Enough
449,455,arma,weapon
450,457,meses,months
451,458,cuarto,room
452,459,éste,this
453,460,escuela,school
454,461,esté,this
455,462,dólares,dollars
456,463,tío,uncle
457,464,posible,possible
